home_win_pct,home_obp,home_home_runs,home_ops,home_era,home_whip,home_strikeouts,away_win_pct,away_obp,away_home_runs,away_ops,away_era,away_whip,away_strikeouts,is_home,game_winner
0.36363636363636365,.312,13,.659,4.26,1.34,92,0.4,.283,7,.579,3.84,1.08,105,1,1
0.8,.296,12,.694,2.77,1.21,85,0.36363636363636365,.269,12,.609,3.09,0.98,82,1,0
0.36363636363636365,.308,18,.724,5.60,1.56,100,0.8181818181818182,.351,10,.773,2.88,1.15,96,1,0
0.6363636363636364,.348,16,.809,3.55,1.06,89,0.5454545454545454,.346,25,.872,4.58,1.24,110,1,1
0.4,.298,13,.673,4.55,1.47,69,0.2,.268,9,.589,3.75,1.26,78,1,1
0.7272727272727273,.305,9,.676,2.02,1.14,106,0.45454545454545453,.305,8,.654,4.01,1.40,84,1,1
0.3333333333333333,.288,8,.606,4.90,1.41,106,0.45454545454545453,.366,16,.831,5.89,1.33,83,1,0
0.45454545454545453,.303,15,.730,4.45,1.53,91,0.6923076923076923,.313,26,.774,3.08,1.28,120,1,1
0.5,.345,11,.761,4.37,1.43,87,0.5833333333333334,.346,6,.714,3.66,1.15,102,1,0
0.4,.320,6,.702,3.08,1.00,94,0.7,.306,14,.710,4.35,1.35,85,1,0
0.2,.296,7,.618,4.43,1.31,81,0.7,.359,11,.788,3.64,1.18,108,1,1
0.6428571428571429,.360,18,.787,4.35,1.43,104,0.6666666666666666,.264,13,.611,3.60,1.19,102,1,1
0.5454545454545454,.298,6,.641,2.96,1.19,93,0.2727272727272727,.264,6,.577,4.50,1.36,94,1,1
0.2,.298,7,.654,4.55,1.53,68,0.5454545454545454,.305,12,.689,5.51,1.31,98,1,0
0.5,.340,13,.768,4.80,1.20,112,0.4166666666666667,.317,12,.706,4.11,1.33,91,1,1
0.3333333333333333,.301,13,.630,3.80,1.31,104,0.45454545454545453,.283,7,.573,3.48,1.03,124,1,0
0.7272727272727273,.286,12,.665,2.61,1.19,91,0.4166666666666667,.269,12,.608,2.83,0.94,87,1,0
0.4166666666666667,.316,19,.744,5.38,1.55,109,0.75,.348,11,.767,3.51,1.22,103,1,1
0.38461538461538464,.289,8,.590,4.38,1.34,116,0.4166666666666667,.351,16,.788,5.24,1.31,93,1,1
0.6666666666666666,.293,9,.642,2.10,1.19,118,0.5,.309,9,.657,3.68,1.32,89,1,0
0.5833333333333334,.342,16,.790,3.50,1.08,102,0.5833333333333334,.346,26,.855,4.44,1.23,124,1,0
0.6,.350,18,.763,4.47,1.42,111,0.6923076923076923,.269,16,.636,3.47,1.14,107,1,0
0.38461538461538464,.310,19,.717,5.12,1.55,118,0.7692307692307693,.348,11,.764,3.32,1.18,107,1,0
0.5384615384615384,.348,17,.808,4.42,1.16,115,0.38461538461538464,.309,12,.682,4.54,1.39,99,1,1
0.75,.288,14,.692,2.78,1.17,107,0.38461538461538464,.267,12,.596,3.15,0.98,95,1,1
0.4166666666666667,.304,16,.722,4.58,1.51,101,0.7142857142857143,.314,28,.775,3.22,1.28,129,1,0
0.38461538461538464,.303,14,.636,3.89,1.35,109,0.4166666666666667,.293,7,.584,3.78,1.07,130,1,1
0.45454545454545453,.300,14,.664,4.21,1.48,81,0.18181818181818182,.276,9,.591,3.72,1.26,86,1,1
0.46153846153846156,.330,11,.727,4.03,1.36,91,0.6153846153846154,.335,6,.687,3.32,1.09,116,1,0
0.45454545454545453,.319,8,.709,3.17,1.03,102,0.6363636363636364,.306,18,.724,4.45,1.34,92,1,1
0.18181818181818182,.305,8,.632,4.39,1.33,95,0.7272727272727273,.358,13,.787,3.58,1.22,115,1,0
0.5,.287,6,.615,3.05,1.18,103,0.3333333333333333,.269,8,.596,4.11,1.28,98,1,0
